NumZoa,NumFood,Velo,MaxHealth,Sight,Gen,Size,minVelo,minMaxHealth,minSight,minGen,minSize,maxVelo,maxMaxHealth,maxSight,maxGen,maxSize,NumEaten,minNumEaten,maxNumEaten
11,86,3.0,228.63636363636363,51.27272727272727,0.09090909090909091,9.909090909090908,3,190,50,0,9,3,265,64,1,10,0.9090909090909091,0,3
12,112,3.0833333333333335,225.5,50.083333333333336,0.16666666666666666,9.666666666666666,3,190,37,0,7,4,265,64,1,10,2.0,0,7
13,134,3.0,228.46153846153845,50.76923076923077,0.23076923076923078,9.76923076923077,2,190,37,0,7,4,265,64,1,11,3.8461538461538463,0,14
13,188,3.076923076923077,233.92307692307693,52.61538461538461,0.38461538461538464,9.76923076923077,2,190,37,0,7,4,265,74,2,11,5.6923076923076925,0,19
9,268,2.888888888888889,228.44444444444446,51.77777777777778,0.4444444444444444,9.666666666666666,2,182,45,0,8,3,265,64,1,11,11.11111111111111,0,27
10,406,2.7,240.3,53.5,0.5,10.2,2,185,48,0,8,3,269,64,1,13,14.3,0,35
11,406,2.727272727272727,235.8181818181818,54.90909090909091,0.6363636363636364,10.090909090909092,2,185,48,0,8,3,269,64,1,13,16.727272727272727,0,43
13,405,3.076923076923077,237.23076923076923,57.92307692307692,1.1538461538461537,10.0,2,185,48,0,7,5,269,78,4,13,18.307692307692307,1,44
12,413,3.0833333333333335,240.5,57.666666666666664,1.1666666666666667,10.166666666666666,2,185,48,0,7,5,269,78,4,13,25.25,1,52
14,418,3.0,243.64285714285714,58.285714285714285,1.3571428571428572,10.142857142857142,2,185,48,0,6,5,269,78,4,14,26.714285714285715,0,56
16,417,3.125,245.625,58.8125,1.5,10.0625,2,185,46,0,6,5,269,79,4,14,27.1875,2,59
18,430,3.2222222222222223,237.38888888888889,59.77777777777778,1.7222222222222223,9.722222222222221,2,179,46,0,5,5,269,79,4,14,24.72222222222222,0,61
20,437,3.3,235.5,60.5,1.8,9.8,2,179,46,0,5,5,269,79,4,14,25.8,1,61
19,412,3.263157894736842,235.05263157894737,59.78947368421053,1.7894736842105263,9.421052631578947,2,178,46,0,2,5,269,79,4,14,29.789473684210527,0,68
18,436,3.2222222222222223,242.27777777777777,60.44444444444444,1.9444444444444444,10.222222222222221,1,181,46,0,5,5,269,79,4,15,30.166666666666668,0,75
21,428,3.380952380952381,237.57142857142858,60.23809523809524,2.0952380952380953,9.761904761904763,1,181,36,0,5,5,269,93,4,15,27.38095238095238,0,81
28,415,3.4642857142857144,237.67857142857142,60.75,2.357142857142857,9.428571428571429,1,181,36,0,4,5,271,93,5,15,23.714285714285715,0,85
32,442,3.375,238.75,63.15625,2.75,9.40625,1,181,36,0,4,5,271,104,5,15,23.53125,0,90
39,392,3.41025641025641,240.84615384615384,63.87179487179487,3.1025641025641026,9.794871794871796,1,181,36,0,4,5,271,104,6,17,23.17948717948718,0,96
45,306,3.3333333333333335,245.53333333333333,63.355555555555554,3.3777777777777778,10.088888888888889,1,181,36,0,4,6,279,104,7,17,25.244444444444444,0,104
51,272,3.4313725490196076,247.31372549019608,64.82352941176471,3.588235294117647,10.098039215686274,1,181,36,0,4,6,279,104,8,17,25.88235294117647,0,107
58,236,3.2758620689655173,252.79310344827587,65.63793103448276,4.0,10.620689655172415,0,182,38,0,5,6,279,117,8,19,23.82758620689655,0,112
56,239,3.392857142857143,252.94642857142858,66.01785714285714,4.357142857142857,11.107142857142858,0,182,40,0,5,6,282,117,9,22,25.25,0,112
52,290,3.3846153846153846,249.92307692307693,65.13461538461539,4.384615384615385,11.153846153846153,0,182,40,0,5,6,282,117,9,22,25.21153846153846,0,112
43,322,3.5348837209302326,245.04651162790697,62.74418604651163,4.162790697674419,11.44186046511628,0,182,40,0,5,6,282,87,9,22,27.790697674418606,0,113
40,336,3.625,251.475,61.5,4.775,12.1,0,182,38,1,5,6,282,93,9,22,25.55,0,114
44,344,3.8181818181818183,251.3181818181818,60.18181818181818,5.113636363636363,12.181818181818182,0,182,31,1,2,6,282,93,10,23,24.727272727272727,0,117
47,356,4.0,250.2127659574468,60.61702127659574,5.191489361702128,12.212765957446809,0,182,31,1,2,6,283,93,11,23,25.680851063829788,0,126
